YEAR,CPI_U,ALICE_S,DBEDT_S
1960,29.6,3661,4143
1961,29.9,3698,4185
1962,30.2,3735,4227
1963,30.6,3784,4283
1964,31,3834,4339
1965,31.5,3896,4408
1966,32.4,4007,4534
1967,33.4,4131,4674
1968,34.8,4304,4870
1969,36.7,4539,5136
1970,38.8,4799,5430
1971,40.5,5009,5668
1972,41.8,5170,5850
1973,44.4,5491,6214
1974,49.3,6097,6900
1975,53.8,6654,7529
1976,56.9,7037,7963
1977,60.6,7495,8481
1978,65.2,8064,9125
1979,72.6,8979,10161
1980,82.4,10191,11532
1981,90.9,11242,12722
1982,96.5,11935,13505
1983,99.6,12318,13939
1984,103.9,12850,14541
1985,107.6,13308,15059
1986,109.6,13555,15339
1987,113.6,14050,15899
1988,118.3,14631,16556
1989,124,15336,17354
1990,130.7,16165,18292
1991,136.2,16845,19062
1992,140.3,17352,19635
1993,144.5,17871,20223
1994,148.2,18329,20741
1995,152.4,18848,21329
1996,156.9,19405,21959
1997,160.5,19850,22462
1998,163,20159,22812
1999,166.6,20604,23316
2000,172.2,21297,24100
2001,177.1,21903,24786
2002,179.9,22249,25177
2003,184,22756,25751
2004,188.9,23362,26437
2005,195.3,24154,27333
2006,201.6,24933,28214
2007,207.342,25643,29018
2008,215.303,26628,30132
2009,214.537,26533,30025
2010,218.056,26968,30517
2011,224.939,27820,31481
2012,229.594,28395,32132
2013,232.957,28811,32603
2014,236.736,29279,33132
2015,237.017,29313,33171
2016,240.007,29683,33590
2017,245.12,30316,34305
2018,251.107,31056,35143
2019,255.657,31619,35780
2020,258.811,32009,36221
